SquareFootage,NumRooms,NumBathrooms,HasBalcony,HasGymAccess,HasParking,NeighborhoodSafetyIndex,WalkScore,SchoolRating,Rent
975,5,2,0,0,0,1.22,79,3.1,3361.51
2961,1,3,1,1,0,6.66,99,9.3,7412.69
2505,3,3,0,0,0,1.19,5,2.0,4822.66
946,3,3,0,1,1,7.73,21,3.8,3415.96
1694,2,1,0,0,1,6.44,33,5.3,3947.26
645,5,3,0,0,0,6.69,94,1.4,4359.14
1239,1,3,0,1,0,4.58,37,7.7,4094.09
584,5,2,0,1,1,3.93,49,2.5,3641.22
1117,4,1,1,1,1,4.08,31,6.2,3353.68
2020,5,1,0,0,0,8.12,16,5.3,5264.09
1762,1,2,0,1,0,4.75,31,2.6,4084.85
2154,5,2,1,1,1,1.43,74,7.0,5801.62
910,5,3,0,0,1,2.34,60,8.1,4131.18
2649,2,3,0,0,0,2.0,27,5.6,5822.93
2698,4,2,1,1,1,2.76,96,2.1,6896.49
1543,3,3,1,0,1,9.72,90,6.8,5500.86
515,5,2,1,0,0,3.18,37,6.3,2824.82
2219,2,1,0,1,1,2.53,8,8.0,4713.48
784,4,1,1,0,1,6.16,40,6.0,3559.36
2542,2,2,1,0,0,1.39,67,2.0,5094.19
2053,4,3,1,0,1,5.53,58,2.1,6234.43
944,2,2,1,0,0,9.35,42,9.8,4027.24
906,5,1,0,1,0,3.34,76,8.4,4231.1
2745,3,3,0,1,0,5.93,24,3.7,6470.22
2439,5,1,1,0,1,8.29,73,8.9,6637.42
2759,5,2,0,0,0,4.54,71,2.1,7079.67
2795,4,3,0,0,0,8.47,57,5.7,7110.99
2524,5,1,0,0,1,1.09,32,8.2,5367.9
1325,1,1,1,1,0,3.1,3,9.3,3108.87
973,1,3,0,0,1,9.34,55,5.0,3593.23
1315,2,1,1,0,1,7.08,90,9.8,4856.33
2052,5,3,0,0,0,2.82,24,5.8,5374.68
647,1,1,0,0,1,3.3,24,2.7,2886.35
2802,2,1,0,1,1,1.55,20,2.7,5713.43
717,4,1,1,0,1,8.33,92,6.7,4377.94
579,5,2,0,0,0,4.97,22,9.7,3582.44
2037,5,3,0,1,1,3.73,95,6.0,5923.47
1226,1,1,0,1,0,1.23,87,8.9,4024.67
2853,1,1,1,0,0,4.18,91,7.2,6610.27
1781,1,3,1,1,0,9.71,59,1.5,4767.59
2991,5,3,1,0,1,8.16,9,7.5,7283.79
631,5,2,1,0,0,7.21,4,9.8,3057.38
1285,4,2,0,1,0,7.57,43,9.6,4499.07
1312,1,1,0,0,1,5.66,84,5.5,3497.7
1811,1,2,0,1,1,1.9,17,4.6,4018.5
1183,3,3,1,0,0,5.97,45,5.8,4806.44
2196,5,1,1,0,1,2.21,88,4.1,5726.12
2553,5,3,1,0,1,5.9,21,4.6,6539.78
2542,2,1,0,0,0,7.42,13,6.4,5488.29
1746,4,1,1,1,1,1.06,19,4.7,4308.75
1381,3,3,0,1,0,7.45,75,9.1,5188.2
2659,2,3,1,0,0,7.23,74,8.5,7055.34
530,1,3,1,0,1,3.82,37,6.5,2510.36
2329,5,2,0,0,1,8.21,33,8.3,6176.32
523,2,2,0,1,0,9.92,83,3.2,3310.5
642,2,3,1,0,0,6.45,18,4.8,3003.3
1864,3,1,0,0,1,1.6,77,1.9,4409.84
2081,4,3,1,1,0,8.63,29,2.3,5718.77
1309,3,3,0,0,0,6.29,10,8.7,4397.62
2199,4,3,1,1,0,5.03,15,6.1,5519.44
578,5,2,0,0,1,4.46,80,7.2,3274.26
624,1,3,0,1,0,2.93,82,6.0,2668.02
2240,3,1,0,0,1,5.46,58,6.7,5547.07
1861,2,1,0,1,0,7.56,42,1.2,4415.6
2742,3,2,1,1,0,8.88,3,8.2,6381.57
2380,2,3,1,0,0,9.07,62,1.1,6300.12
1491,3,1,0,0,1,1.23,16,8.3,3785.95
523,1,3,1,0,1,2.92,73,8.0,3209.88
1265,1,2,0,1,0,9.06,72,3.8,3969.44
2253,2,2,1,1,0,5.55,68,3.1,5550.73
461,3,3,1,1,1,1.22,51,1.1,2270.85
538,4,1,1,1,1,6.91,79,5.2,3420.59
2057,4,3,1,1,0,4.32,56,1.0,5687.63
2051,3,3,0,0,0,1.93,4,1.3,4305.42
1732,3,2,0,0,0,9.42,72,10.0,5732.88
1720,3,1,1,1,1,5.44,91,8.5,5226.92
1665,3,2,0,1,0,6.73,11,6.0,4401.61
2045,4,2,1,1,0,7.98,46,8.2,5476.27
913,1,3,1,0,1,4.52,67,5.6,4014.52
1604,1,1,0,1,1,6.43,97,5.6,4844.34
2250,3,1,1,0,1,2.4,53,8.7,5715.89
678,5,3,0,0,1,4.68,75,9.9,4439.65
2368,5,3,0,1,0,5.77,12,4.2,6380.72
1704,4,1,1,0,1,2.13,84,8.8,5402.47
749,5,1,1,1,1,9.66,16,9.4,3961.33
986,2,1,1,0,0,8.23,2,4.5,3336.61
2537,2,3,0,0,0,7.48,20,3.4,6118.89
2682,1,1,1,0,1,9.56,17,7.2,6208.07
880,3,1,0,1,1,5.39,99,2.9,3409.55
827,3,2,0,1,1,4.27,58,1.8,3451.01
976,3,3,0,1,1,1.3,54,6.1,3763.87
2775,3,3,0,0,0,7.68,43,7.5,6620.82
2582,4,2,1,0,1,7.9,56,7.2,6902.34
2363,4,2,0,0,0,1.05,23,3.7,5002.6
1844,3,1,1,0,0,3.2,68,4.2,4697.95
2653,5,2,1,0,1,2.05,86,6.3,6503.33
2706,1,3,1,0,0,6.47,12,2.9,6176.37
2000,3,3,0,0,1,9.32,27,3.6,5221.96
987,5,2,0,1,0,3.8,67,5.5,4307.0
2271,3,3,1,0,1,5.0,53,3.8,5988.05
2275,3,1,1,1,1,6.81,36,9.0,5953.9
556,5,1,0,1,1,5.42,42,5.2,3042.93
995,2,1,1,0,0,1.8,1,1.1,2350.02
805,5,2,1,0,0,3.13,88,5.6,4247.15
1067,1,2,0,1,1,7.01,9,5.1,3367.92
650,4,3,0,0,1,7.78,10,5.9,3686.4
2667,2,1,1,0,0,9.59,83,1.3,6378.22
2180,4,1,1,1,0,3.26,78,3.7,5172.82
865,4,1,1,0,0,3.5,6,5.4,3443.78
649,1,3,1,0,1,1.39,37,8.4,2617.39
1462,3,1,0,1,1,2.76,13,4.4,3826.98
2917,1,2,0,1,0,7.24,42,4.9,6691.15
460,3,3,0,1,1,9.07,25,2.6,2762.71
2927,4,2,0,1,0,2.28,80,4.3,6579.85
2120,2,1,1,0,1,1.88,81,4.8,5265.63
1687,3,1,0,0,1,5.1,57,7.8,4162.11
891,5,2,1,1,1,5.75,50,8.2,4221.44
711,5,1,1,0,1,7.61,23,8.9,3389.81
2575,4,3,1,0,0,2.99,94,3.5,6240.42
2346,3,3,0,0,0,3.72,65,1.5,5895.87
975,5,2,0,1,0,7.06,0,3.2,3400.6
2535,4,2,1,1,1,4.17,49,2.9,6391.72
2049,1,1,0,1,1,3.18,27,8.4,4887.31
2303,2,2,0,1,1,3.88,19,8.4,5489.58
1580,2,3,0,1,1,5.23,95,6.3,5305.35
2180,2,1,0,1,1,1.31,44,3.2,4465.76
1412,2,1,0,1,1,9.03,12,6.1,3966.74
1750,5,3,1,0,1,3.84,4,1.7,4473.38
2401,3,1,1,1,1,3.98,34,6.6,5524.12
1448,3,1,1,1,1,8.69,37,1.8,4352.33
943,5,3,0,1,0,6.65,66,4.2,4082.18
689,2,3,1,0,0,4.9,64,2.1,3275.86
1941,3,3,0,1,0,4.25,80,1.9,5374.41
2656,5,2,1,1,1,7.02,41,6.5,6961.24
2330,2,3,0,0,0,4.44,97,2.1,6280.92
1892,5,3,0,1,1,5.1,95,4.7,5949.48
2692,3,1,0,0,0,6.7,90,3.9,6475.55
2398,3,1,0,0,0,2.73,12,8.1,5567.74
784,5,3,0,0,0,8.95,17,4.1,4153.69
1048,1,1,1,1,0,3.45,81,8.0,3679.05
2825,4,3,0,1,1,3.02,23,5.8,6562.17
2125,5,2,1,1,1,8.37,73,8.8,6857.86
747,5,2,1,1,1,5.19,46,3.2,4156.32
1407,3,3,1,1,0,9.31,67,4.8,4886.35
1101,1,3,1,0,0,9.84,98,5.3,4701.51
1096,2,3,0,1,0,8.18,41,2.7,3755.16
2465,5,1,0,0,1,6.51,78,1.7,6384.69
1338,1,1,0,0,1,9.8,52,7.0,4167.0
1225,4,2,0,0,1,2.98,76,1.8,3696.21
2058,1,1,0,0,0,4.5,38,2.2,4602.66
1613,2,2,0,1,0,5.61,73,2.4,4102.16
2848,5,3,1,1,1,2.72,24,2.4,6521.81
2405,5,2,0,0,0,9.85,81,6.6,6834.17
2106,4,1,0,0,0,6.21,30,6.8,5600.89
1877,1,1,0,0,0,3.78,47,8.1,4864.56
2049,5,1,0,0,1,2.12,69,1.8,5337.83
1912,2,2,1,0,1,6.09,59,8.6,5758.72
2750,2,1,0,1,0,7.22,72,3.8,6330.51
2221,1,2,1,0,0,1.26,85,8.6,5740.45
1678,4,2,0,1,0,7.94,75,7.4,5289.4
2947,2,2,0,1,0,6.11,43,6.8,6671.65
1293,4,3,1,0,1,9.31,41,6.1,4710.82
775,4,3,1,1,1,3.41,59,2.3,3602.84
2480,1,2,1,0,1,2.79,35,4.8,5466.38
749,1,1,0,0,1,7.87,83,2.8,3156.57
2127,3,2,1,0,1,9.93,56,6.2,5927.03
2507,5,1,1,1,1,3.71,21,4.1,6358.23
2122,2,2,0,1,1,6.78,28,7.0,5376.88
1215,1,3,0,0,0,4.55,11,4.5,3367.37
2488,4,2,0,1,1,7.03,38,5.5,6312.77
1710,5,1,1,1,0,7.4,63,6.3,5298.4
2209,5,2,0,1,1,7.0,16,9.3,5550.47
2165,5,3,0,0,0,3.73,40,7.1,5398.13
856,1,3,1,1,0,2.93,78,2.2,3369.21
2472,1,1,1,0,1,7.23,39,1.0,5190.14
2500,4,2,1,1,1,1.77,47,9.6,6347.68
1039,4,1,1,1,1,7.17,59,3.2,4181.07
2977,4,3,1,0,1,3.74,26,10.0,6739.98
2244,1,2,0,0,1,3.83,43,8.7,5397.09
2515,5,2,0,0,1,6.02,41,8.8,6078.64
2395,3,3,0,1,1,6.85,17,9.1,6078.94
2172,1,3,0,0,0,7.09,48,9.9,5799.73
2315,1,2,0,0,1,2.65,87,2.1,5264.86
2206,3,3,0,1,0,9.59,76,8.2,6392.04
1953,2,3,0,1,0,7.05,21,2.0,4826.2
1635,4,2,1,0,1,6.1,23,2.4,4922.6
1975,4,2,1,0,0,7.3,36,5.2,5187.13
2931,3,3,0,1,0,7.69,55,6.8,7028.74
1631,1,3,0,0,0,4.87,92,3.6,4582.62
1913,2,2,1,1,0,5.79,62,9.6,5197.83
1586,2,1,0,0,0,6.24,98,1.5,4561.75
2572,3,2,1,0,1,8.43,0,3.2,5722.99
2220,3,3,0,0,1,1.92,36,9.6,5928.59
877,2,1,0,0,1,2.63,59,3.4,2716.93
658,5,3,0,1,1,6.85,69,3.6,4204.24
2051,5,3,0,0,0,2.35,38,6.1,5546.53
2945,4,2,1,1,0,8.25,37,6.3,6956.51
1653,5,1,1,0,1,9.48,1,9.0,4715.45
2697,4,2,1,1,1,8.17,16,5.1,6156.11
705,5,2,0,1,0,6.67,87,7.0,3968.03
2045,3,1,1,1,0,9.1,60,5.0,4875.96
587,4,1,0,1,1,7.77,70,4.0,3684.9
1514,2,2,0,1,0,1.77,39,5.4,3962.28
488,5,3,1,0,0,6.03,27,3.7,3457.46
2608,4,2,1,1,0,6.22,43,2.6,6125.31
421,1,2,1,1,1,9.12,9,1.8,2656.12
1739,5,3,0,1,1,9.12,25,3.1,5065.08
2654,4,2,0,1,1,3.9,56,3.2,6442.99
2147,4,1,1,0,1,8.97,37,9.7,5664.95
2610,4,3,0,1,0,4.57,8,7.8,5823.36
641,2,2,0,0,1,2.2,47,7.1,3159.04
2341,1,3,1,0,0,2.48,1,5.9,4817.61
2537,1,1,0,1,1,6.48,73,1.0,5648.39
2726,2,2,1,1,1,7.22,61,7.1,7119.79
2036,5,1,1,0,0,3.06,72,4.4,5627.86
1899,1,3,1,1,1,4.47,99,1.4,5751.6
1966,2,3,1,0,0,1.73,26,9.7,4534.14
833,4,1,0,0,1,7.53,50,7.7,3714.5
2992,2,2,1,0,0,3.02,26,2.8,6185.02
688,2,3,1,1,1,3.65,32,2.6,2896.66
607,5,3,1,0,1,4.55,8,5.6,3322.55
523,3,3,0,0,0,5.93,40,3.0,3330.16
1213,5,1,1,1,0,8.68,39,8.5,4009.56
1128,5,3,0,1,0,2.74,23,9.7,4606.07
2768,4,1,0,0,1,2.34,37,4.0,5711.14
1999,1,2,0,0,0,2.45,43,6.8,4209.03
2262,1,3,1,0,0,3.87,12,4.5,5100.24
1976,5,3,1,1,1,1.14,12,5.6,5323.4
1415,3,2,0,0,0,6.67,61,1.4,4845.7
459,4,2,1,1,1,4.45,64,5.7,3163.31
1963,3,1,0,0,0,4.4,4,2.7,4269.05
1914,2,2,0,0,0,5.05,29,7.3,4971.2
1659,5,3,0,0,1,4.13,51,7.6,4829.49
2765,3,2,1,1,1,2.61,15,1.8,5692.57
1255,2,1,0,1,1,7.03,89,8.7,4179.92
834,2,3,0,0,1,9.92,95,9.1,4660.52
2803,2,2,1,0,0,8.46,92,2.2,7092.66
2320,5,1,1,0,0,8.85,81,5.2,5921.14
1815,4,1,0,0,0,2.89,8,7.9,4016.57
2015,4,2,1,1,1,9.39,85,8.2,6801.25
1748,4,2,0,0,1,4.86,82,7.7,5025.32
824,4,1,1,1,0,8.02,19,1.2,3291.76
2812,2,1,1,0,0,8.86,36,3.4,6560.98
889,1,2,0,0,0,5.64,76,8.1,3555.74
953,1,1,1,1,0,8.32,2,2.5,2838.9
469,1,1,0,1,0,6.1,43,7.3,2886.97
1492,1,1,0,1,1,3.08,56,5.8,3784.48
2506,3,1,1,0,1,8.42,75,5.5,6162.28
2927,5,2,1,0,1,9.81,86,9.3,8000.35
582,4,2,0,1,1,2.23,99,6.7,3292.95
1191,4,1,0,0,0,7.31,29,2.0,3687.36
2311,1,1,1,0,0,9.06,76,7.2,6270.65
2453,5,2,1,0,0,7.86,33,3.0,5958.77
2325,2,1,1,1,0,2.43,40,9.0,5127.11
2590,4,3,1,1,0,5.93,71,3.6,6977.84
2302,5,3,1,0,1,4.07,76,8.5,6381.7
2987,4,3,1,1,0,8.45,85,8.5,7751.89
2471,4,3,0,0,1,4.23,37,9.0,6260.13
2574,1,2,0,0,1,4.12,3,6.2,4571.2
2981,2,2,0,0,0,6.39,12,6.8,6429.37
1858,5,2,0,1,1,4.17,52,8.4,5711.19
1252,5,2,1,0,1,1.65,97,7.1,4664.97
1192,3,3,1,0,1,5.29,30,5.7,4027.83
1091,2,2,1,0,1,3.85,38,2.4,3374.75
821,1,3,0,1,0,1.02,11,8.7,3143.62
799,3,1,1,1,0,4.55,21,7.4,3032.0
1372,4,3,1,1,1,4.27,7,7.8,4486.52
437,3,3,0,0,0,5.85,96,3.1,3778.66
1489,3,1,1,1,0,7.52,81,2.4,4560.97
907,3,1,0,0,1,6.28,11,6.9,3188.56
1997,1,1,0,1,1,4.55,29,9.5,4187.84
1197,4,1,0,0,1,6.04,98,1.6,4525.57
2927,5,2,0,0,1,3.19,26,9.3,6902.59
2031,2,1,1,1,0,7.61,42,6.9,5135.61
2419,3,2,1,0,0,1.24,53,2.5,5199.59
2160,5,3,1,1,1,2.75,17,2.3,5283.26
641,4,1,1,1,1,9.13,28,5.2,2937.4
2706,5,2,0,0,1,7.93,57,1.2,6502.18
2116,4,3,0,0,1,6.01,82,1.9,6187.07
1293,4,2,0,1,0,4.77,77,7.4,4457.29
1076,4,3,0,1,1,9.43,38,4.4,4850.98
2676,1,2,0,0,0,4.77,87,2.0,6342.17
2358,3,3,0,1,1,5.38,3,2.3,5812.03
1831,2,3,1,0,0,2.01,30,3.1,4411.64
1604,3,3,0,0,1,7.96,40,5.0,5156.32
1290,3,2,0,1,1,1.1,83,6.0,4128.43
1973,4,2,0,1,1,3.78,66,8.1,5805.76
489,4,2,0,0,0,2.82,60,8.7,3369.67
2022,4,1,1,1,0,9.74,99,6.4,6360.57
2877,3,3,0,1,0,2.92,74,10.0,7157.56
1453,2,3,0,1,1,4.53,34,4.9,4520.75
2103,1,1,0,1,0,9.3,95,8.4,5855.77
2557,5,1,0,1,1,7.96,75,6.8,6985.32
717,4,3,0,0,1,2.64,52,3.0,3422.12
411,4,1,1,0,0,3.66,87,9.9,3904.65
2114,4,1,0,0,1,9.83,69,5.4,5752.05
2470,5,1,0,1,0,8.67,97,9.7,7088.53
1399,1,3,1,1,0,7.63,52,6.3,5042.17
2484,2,3,0,0,1,1.37,32,3.6,5528.98
1290,3,1,1,0,1,9.27,51,4.4,4326.18
424,3,3,1,0,0,1.47,8,1.6,2137.43
1685,2,3,1,0,0,1.38,12,7.8,4293.2
521,4,2,0,1,0,9.01,58,9.6,3716.68
1217,4,1,0,0,0,7.56,2,7.6,3806.28
1432,5,1,1,1,1,7.43,91,7.9,5250.71
695,1,1,0,0,0,1.11,94,1.7,2602.51
2211,4,2,0,1,1,9.7,17,9.0,5670.76
1977,4,1,1,1,1,8.06,11,1.1,5248.47
1855,5,1,1,0,1,7.93,63,10.0,5482.45
1330,1,3,1,1,1,8.15,27,2.5,4293.57
940,2,3,0,0,1,7.46,2,7.1,3202.46
1161,4,3,1,1,1,2.1,14,4.8,4102.37
1749,1,3,1,1,1,4.78,21,2.4,4379.96
1058,3,1,1,0,0,8.12,47,1.8,3555.56
994,4,3,0,0,1,5.18,67,10.0,4462.37
1681,1,1,0,1,1,5.39,2,1.3,3345.86
2033,1,2,0,0,1,5.73,64,3.2,4987.08
2786,3,2,1,0,0,9.97,37,1.4,6336.88
2993,5,2,0,1,1,9.2,13,5.0,6928.27
1132,1,3,0,0,0,7.62,21,7.6,4024.29
918,4,2,1,1,1,5.44,40,1.3,3863.62
1016,3,3,1,1,1,2.99,54,5.6,3905.77
1065,4,3,0,0,0,2.43,53,8.7,4227.98
2964,2,3,1,1,0,7.14,9,5.3,6702.0
1179,1,1,0,1,1,1.35,68,3.0,3029.54
819,4,1,1,1,0,8.01,72,2.9,4003.36
497,2,1,1,1,0,2.91,81,1.7,2561.05
1033,1,3,1,1,0,6.54,67,4.2,3955.35
1829,2,1,0,1,1,6.77,24,6.4,4940.32
2963,2,2,0,1,1,8.43,97,3.9,7355.12
1403,3,3,1,1,0,3.94,98,9.9,5145.05
1819,5,2,0,0,0,5.51,95,9.6,5972.82
1155,4,2,0,0,0,6.74,86,1.9,4701.03
1279,1,1,1,0,1,4.99,69,4.9,3525.3
1487,4,3,0,1,1,7.68,75,1.1,4915.77
962,2,2,1,1,1,4.79,80,6.7,4238.97
2842,3,2,0,0,0,2.64,21,9.5,6221.18
1233,1,2,1,1,1,4.28,3,6.1,3276.26
1683,1,2,0,1,0,8.95,72,7.1,4999.69
2590,5,3,0,0,1,1.97,18,2.1,6062.53
655,2,2,1,1,1,3.37,73,7.0,3558.31
2908,4,1,1,0,1,1.5,93,6.3,6543.32
689,1,3,1,0,1,5.14,55,3.9,3218.95
1941,4,3,1,1,0,9.26,44,8.5,6030.21
2311,5,2,0,1,1,8.43,26,7.4,6125.66
2198,2,2,0,0,0,2.74,78,1.2,5080.58
444,5,1,0,0,1,2.07,98,7.0,2599.55
2604,4,1,0,0,0,9.71,63,8.9,6517.76
2628,2,3,1,1,0,6.52,37,3.1,6557.19
1745,4,3,0,0,1,1.17,93,6.3,4939.02
744,3,1,0,0,0,3.27,39,4.3,3050.64
2721,1,2,0,0,0,9.36,87,3.3,6615.42
1580,5,2,0,1,0,7.67,89,4.8,5296.43
425,4,2,0,1,1,7.53,40,2.0,3111.03
1000,1,2,1,0,0,1.1,42,3.6,3128.5
1652,2,3,1,1,0,5.32,8,5.6,4388.82
1462,5,2,1,0,1,7.32,7,3.8,4425.13
1613,3,3,1,1,1,8.57,30,1.4,4872.37
2896,4,3,0,0,0,1.31,76,6.3,6323.62
1244,2,2,0,0,1,2.97,22,5.8,3415.47
2748,1,1,1,1,0,9.88,71,5.6,6675.67
1337,4,3,1,0,1,8.74,67,7.0,4990.96
922,3,3,0,1,1,4.32,17,7.6,3650.77
2927,2,2,0,1,0,8.47,11,6.8,6689.12
1110,5,3,0,0,1,8.29,12,9.8,4414.48
494,2,1,0,0,0,6.39,40,2.6,2443.02
1599,1,1,1,0,0,6.44,63,9.7,4814.2
789,1,3,1,0,1,1.49,41,6.5,3208.86
1109,4,2,0,0,1,9.02,15,4.9,3605.1
2108,5,2,1,0,0,1.55,52,9.4,5508.15
1107,2,1,0,0,0,2.75,79,1.4,3310.45
2944,4,1,0,1,1,7.82,30,6.5,6935.18
1010,4,3,0,0,0,1.86,57,7.4,4173.86
2260,5,3,0,1,1,3.64,96,3.5,6387.5
973,1,2,0,0,0,2.28,33,3.0,2510.97
641,3,3,1,0,0,4.85,63,9.3,4055.54
1434,3,3,1,1,1,1.63,32,9.2,4307.13
1868,1,3,1,1,1,6.37,70,4.1,5052.57
730,5,2,1,1,1,9.89,53,7.6,4740.68
2440,2,2,1,0,1,4.79,29,8.4,5425.0
2969,5,1,0,1,1,1.4,74,9.1,6907.14
1471,3,3,1,0,0,9.37,27,2.0,4484.08
1827,2,1,0,1,0,9.34,99,9.8,5657.91
1346,1,3,1,1,0,4.94,23,6.1,3921.0
1033,4,3,0,0,0,3.66,95,4.9,4305.23
2845,3,2,0,0,1,5.18,78,2.0,6764.88
2638,3,3,1,1,0,4.59,56,7.6,6458.33
2441,5,3,1,1,0,3.9,62,7.7,6527.53
1651,2,3,1,1,0,4.83,1,4.3,4071.96
1570,4,1,1,0,1,7.41,98,1.3,4836.43
2597,1,2,0,0,0,6.98,96,1.0,6032.93
2100,2,3,0,0,0,3.14,2,6.5,4919.2
2947,1,2,1,1,1,6.11,86,2.7,6774.18
611,3,2,1,0,1,7.71,80,1.6,3697.4
2356,5,1,1,0,1,4.51,4,6.3,5709.89
1502,2,2,0,0,1,8.42,82,2.5,5019.13
474,2,3,1,0,1,6.36,55,9.5,3461.36
895,2,2,1,1,1,8.78,54,9.9,4033.33
713,1,3,1,0,0,7.07,13,9.5,2982.54
2878,5,1,0,0,0,2.77,61,2.1,6089.21
2888,1,3,1,0,0,4.9,3,5.7,6141.26
476,3,3,0,0,0,9.93,92,6.7,4557.92
2173,1,3,1,0,0,1.83,27,9.6,4865.09
2889,2,2,1,0,1,2.91,23,7.3,6128.64
1714,3,1,1,0,0,1.95,84,1.7,4684.68
1163,2,1,0,0,1,2.23,97,8.4,4222.28
1353,3,2,1,0,0,4.72,42,6.7,3889.67
1476,4,1,0,0,1,5.4,86,2.4,4198.96
642,4,3,1,0,0,8.75,79,9.2,4265.8
1325,4,2,1,1,1,5.36,30,3.3,4410.13
1484,5,2,0,0,0,3.36,51,7.7,4750.64
2820,1,2,0,0,1,8.36,25,2.1,6196.47
966,3,1,1,0,1,1.71,58,3.0,3788.68
2151,3,2,0,0,0,6.28,3,9.4,5316.67
2036,2,1,1,0,1,8.96,44,5.1,5018.34
1205,5,1,0,1,1,2.69,33,1.2,3291.24
1164,2,3,1,1,1,4.05,69,5.7,4263.26
2496,1,2,1,1,0,3.84,8,1.5,4629.69
2176,2,2,1,1,1,7.9,65,1.8,5853.2
1548,2,1,0,0,1,6.31,32,8.0,3694.52
961,3,1,1,0,1,9.1,97,1.5,4192.22
966,5,3,1,0,0,2.49,95,7.8,4530.3
1689,2,2,1,0,0,3.34,77,1.2,4535.5
2708,4,2,1,0,0,9.1,79,3.6,6743.22
1717,2,3,0,0,1,6.44,91,2.9,5066.81
2654,2,2,0,1,1,2.01,94,5.4,6435.46
1780,3,1,0,0,0,8.09,78,4.1,5324.71
2070,5,3,0,0,0,5.42,25,6.3,5571.36
1934,3,1,1,1,0,9.0,80,5.1,5642.49
1284,2,1,0,0,1,6.44,44,2.5,3288.6
1073,3,3,0,0,1,3.24,29,5.5,3867.08
2555,2,2,0,1,0,5.88,26,8.0,5190.72
2105,1,3,0,0,0,7.46,0,2.6,4815.15
2138,3,1,1,1,1,7.93,21,2.2,5112.9
1654,4,3,0,0,0,6.23,6,8.4,4852.39
1327,5,3,1,0,1,3.12,56,2.4,4520.0
2100,4,2,0,0,0,7.42,56,9.0,5783.58
733,2,2,0,1,1,3.84,78,7.0,3609.13
908,3,1,0,0,0,1.6,27,6.9,2809.7
577,1,1,1,0,1,6.07,34,3.9,2145.39
872,2,3,1,0,0,1.05,50,6.2,2897.05
914,1,1,0,1,1,8.97,63,8.9,3211.99
